article_id,nb_names
0,17
1,12
2,11
3,4
4,3
5,4
6,7
7,13
8,10
9,21
10,15
11,4
12,7
13,5
14,37
15,16
16,10
17,5
18,3
19,3
20,2
21,12
22,3
23,5
24,7
25,3
26,9
27,6
28,11
29,58
30,5
31,15
32,15
33,13
34,13
35,13
36,31
37,16
38,5
39,0
40,4
41,4
42,14
43,0
44,5
45,18
46,3
47,7
48,4
49,3
50,4
51,7
52,3
53,0
54,0
55,3
56,4
57,11
58,6
59,18
60,4
61,0
62,13
63,4
64,10
65,1
66,32
67,8
68,7
69,2
70,3
71,87
72,4
73,29
74,18
75,25
76,1
77,3
78,10
79,4
80,14
81,0
82,0
83,1
84,14
85,12
86,1
87,21
88,7
89,20
90,5
91,6
92,11
93,14
94,9
95,8
96,2
97,4
98,12
99,7
100,1
101,11
102,16
103,8
104,7
105,2
106,8
107,1
108,6
109,5
110,22
111,5
112,5
113,15
114,18
115,14
116,10
117,8
118,17
119,22
120,0
121,12
122,7
123,13
124,0
125,1
126,13
127,9
128,8
129,15
130,4
131,3
132,24
133,8
134,3
135,10
136,8
137,4
138,0
139,6
140,0
141,6
143,2
144,8
145,9
146,10
147,3
148,1
149,13
150,5
151,7
152,4
153,14
154,28
155,6
156,5
157,27
158,4
159,32
160,21
161,8
162,0
163,2
164,0
165,6
166,9
167,12
168,2
169,0
170,3
171,4
172,1
173,0
174,11
175,2
176,36
177,11
178,41
179,2
180,10
181,24
182,11
183,9
184,3
185,3
186,2
187,11
188,3
189,10
190,2
191,60
192,6
193,1
194,27
195,1
196,0
197,70
198,4
199,43
200,22
201,2
202,16
203,3
204,1
205,16
206,4
207,8
208,13
209,2
210,1
211,25
212,6
213,6
214,1
215,7
216,1
217,21
218,11
219,17
220,17
221,5
222,7
223,1
224,11
225,8
226,2
227,18
228,1
229,5
230,8
231,2
232,11
233,1
234,14
235,5
236,4
237,10
238,3
239,15
240,16
241,9
242,2
243,3
244,4
245,12
246,4
247,8
248,8
249,4
250,11
251,21
252,2
253,2
254,7
255,3
256,13
257,1
258,22
259,18
260,8
261,4
262,24
263,16
264,22
265,14
266,6
267,4
268,3
269,2
270,25
271,5
272,12
273,2
274,19
275,3
276,20
277,2
278,18
279,13
280,4
281,1
282,5
283,9
284,13
285,20
286,11
287,0
288,0
289,1
290,0
291,9
292,6
293,3
294,10
295,0
296,14
297,12
298,11
299,3
300,11
301,8
302,2
303,10
304,8
305,30
306,2
307,27
308,12
309,12
310,5
311,13
312,7
313,8
314,5
315,3
316,10
317,1
318,6
319,1
320,44
321,18
322,4
323,8
324,25
325,13
326,3
327,41
328,22
329,13
330,14
331,12
332,18
333,7
334,9
335,4
336,11
337,6
338,15
339,7
340,1
341,1
342,12
343,2
344,26
345,2
346,10
347,23
348,6
349,0
350,8
351,11
352,6
353,5
354,4
355,6
356,1
357,16
358,5
359,18
360,5
361,10
362,10
363,7
364,1
365,10
366,24
367,7
368,15
369,4
370,18
371,2
372,2
373,8
374,2
375,15
376,14
377,7
378,8
379,11
380,22
381,2
382,6
383,5
384,4
385,3
386,4
387,5
388,0
389,3
390,5
391,3
392,0
393,0
394,3
395,8
396,5
397,4
398,41
399,21
400,2
401,7
402,6
403,7
404,20
405,8
406,7
407,0
408,10
409,15
410,4
411,13
412,12
413,9
414,5
415,4
416,2
417,5
418,13
419,2
420,4
421,5
422,3
423,4
424,11
425,5
426,4
427,5
428,16
429,16
430,3
431,5
432,2
433,4
434,1
435,0
436,5
437,0
438,2
439,11
440,7
441,23
442,9
443,13
444,3
445,10
446,5
447,8
448,3
449,21
450,2
451,36
452,6
453,3
454,21
455,2
456,4
457,22
458,1
459,11
460,8
461,1
462,20
463,11
464,74
465,26
466,4
467,25
468,11
469,6
470,0
471,7
472,3
473,12
474,5
475,3
476,0
477,3
478,13
479,1
480,2
481,8
482,4
483,1
484,3
485,1
486,6
487,8
488,18
489,5
490,1
491,17
492,7
493,4
494,5
495,0
496,24
497,3
498,7
499,0
500,22
501,10
502,16
503,16
504,6
505,37
